date,CUUR0000SEFA01,CUUR0000SEFA02,CUUR0000SEFA03,CUUR0000SEFB01,CUUR0000SEFB02,CUUR0000SEFB03,CUUR0000SEFB04,CUUR0000SEFC01,CUUR0000SEFC02,CUUR0000SEFC03,CUUR0000SEFC04,CUUR0000SEFD01,CUUR0000SEFD02,CUUR0000SEFD03,CUUR0000SEFD04,CUUR0000SEFF01,CUUR0000SEFF02,CUUR0000SEFG01,CUUR0000SEFG02,CUUR0000SEFJ01,CUUR0000SEFJ02,CUUR0000SEFJ03,CUUR0000SEFJ04
2006-01-01,181.8,200.3,167.1,127.8,127.0,212.9,213.9,176.7,147.9,146.7,135.7,121.2,170.0,165.9,111.2,117.9,113.4,121.4,110.1,127.9,183.1,182.0,122.6
2006-02-01,180.0,195.3,169.4,127.7,127.5,213.8,215.5,176.0,149.2,146.2,139.4,121.8,174.6,168.2,108.1,117.1,116.2,121.8,109.2,128.9,181.3,179.3,123.4
2006-03-01,182.5,196.9,170.1,128.5,128.7,212.9,214.3,178.6,145.4,147.6,139.5,121.0,176.9,168.9,107.6,117.4,117.6,121.5,108.5,127.1,182.9,178.8,123.7
2006-04-01,177.4,200.7,170.1,129.4,127.7,212.7,211.2,177.7,143.6,147.1,139.9,122.1,171.4,165.7,111.7,116.4,116.3,121.7,109.8,126.3,180.4,178.9,121.6
2006-05-01,184.0,200.6,170.7,128.8,127.3,213.9,214.6,176.0,142.0,146.2,138.7,122.2,172.6,167.0,110.3,116.2,115.8,122.3,111.1,124.0,182.5,177.0,124.0
2006-06-01,184.3,201.9,170.0,128.8,128.5,213.9,217.2,175.5,142.7,144.7,138.0,123.9,173.7,166.4,112.0,117.7,117.4,124.1,111.6,123.6,178.4,178.3,123.1
2006-07-01,185.2,201.2,173.1,131.3,129.4,214.7,219.7,173.3,142.7,144.3,135.9,124.2,176.8,169.9,112.8,116.7,116.2,122.3,112.1,124.1,182.2,176.8,123.3
2006-08-01,187.5,201.9,172.3,131.1,129.3,214.6,219.2,175.1,144.6,146.8,137.1,124.4,178.7,171.9,112.7,118.9,117.0,126.2,111.3,123.2,180.9,174.9,124.8
2006-09-01,184.3,198.4,171.3,131.5,131.1,213.9,217.9,175.8,143.4,145.9,137.5,125.3,180.3,169.8,114.5,118.9,117.2,127.6,111.5,123.4,179.5,180.3,122.2
2006-10-01,182.9,198.9,172.8,132.9,132.4,214.3,218.1,176.2,146.1,146.6,137.5,126.2,183.1,164.9,113.4,117.7,118.7,128.5,110.1,126.0,180.4,180.9,123.7
2006-11-01,179.2,200.5,174.4,133.5,133.4,217.0,211.7,177.4,151.5,146.1,137.4,122.2,177.5,168.3,111.0,117.8,114.8,125.3,112.0,125.6,179.1,181.8,120.0
2006-12-01,177.0,202.3,174.9,133.4,134.0,216.1,212.4,177.7,147.5,145.1,138.1,122.3,173.6,166.2,112.1,118.5,114.7,125.9,110.9,125.5,178.9,182.0,121.7
2007-01-01,189.914,197.456,174.587,134.828,133.759,215.783,219.330,177.805,146.626,146.440,138.617,123.806,172.747,165.741,112.820,116.973,118.220,127.640,112.586,127.038,181.083,185.532,123.286
2007-02-01,188.986,204.051,178.494,136.488,133.881,218.981,218.863,180.997,151.905,146.366,139.459,125.311,170.358,166.031,109.992,118.216,117.800,129.729,110.672,128.241,181.240,181.574,124.681
2007-03-01,189.168,201.684,178.352,135.943,135.034,219.776,217.507,181.778,152.622,150.995,139.390,124.754,176.106,169.230,113.314,120.488,117.598,129.383,110.490,129.333,184.030,183.603,125.366
2007-04-01,189.640,204.166,180.347,138.717,135.864,220.579,218.099,182.456,158.206,155.146,139.913,123.887,169.135,168.387,112.727,122.745,117.867,131.003,112.824,130.385,184.799,179.959,125.122
2007-05-01,191.111,204.567,182.141,139.223,135.430,219.113,219.326,184.626,155.751,154.565,141.799,129.104,176.349,173.426,114.025,123.797,118.801,132.404,114.107,133.278,184.030,179.530,126.224
2007-06-01,192.774,206.337,181.944,139.869,135.403,219.617,224.262,185.566,156.625,153.310,145.314,129.966,179.754,174.638,118.229,126.417,121.284,133.251,113.676,137.916,185.470,181.296,130.483
2007-07-01,194.237,205.561,184.336,140.507,136.125,221.636,223.116,184.878,154.001,151.872,146.295,129.933,181.689,175.007,115.536,126.503,122.520,131.932,112.845,146.730,191.611,180.229,131.275
2007-08-01,195.707,205.674,184.342,140.259,136.651,221.379,226.348,185.111,154.855,151.828,145.532,131.618,181.990,173.138,111.324,126.748,122.998,131.897,113.724,148.240,197.587,181.802,135.137
