date,CUUR0000SEFA01,CUUR0000SEFA02,CUUR0000SEFA03,CUUR0000SEFB03,CUUR0000SEFB04,CUUR0000SEFC01,CUUR0000SEFD02,CUUR0000SEFD03,CUUR0000SEFJ02,CUUR0000SEFJ03
1976-01-01,,,,,,63.2,,79.5,,
1976-02-01,,,,,,62.0,,80.6,,
1976-03-01,,,,,,61.3,,80.2,,
1976-04-01,,,,,,60.0,,77.3,,
1976-05-01,,,,,,63.3,,78.3,,
1976-06-01,,,,,,63.3,,80.4,,
1976-07-01,,,,,,62.5,,81.6,,
1976-08-01,,,,,,62.1,,80.4,,
1976-09-01,,,,,,61.1,,77.4,,
1976-10-01,,,,,,60.2,,73.2,,
1976-11-01,,,,,,60.4,,71.4,,
1976-12-01,,,,,,60.0,,67.7,,
1977-01-01,,,,,,60.0,,71.9,,
1977-02-01,,,,,,60.6,,76.7,,
1977-03-01,,,,,,60.0,,74.5,,
1977-04-01,,,,,,59.9,,73.6,,
1977-05-01,,,,,,60.7,,72.8,,
1977-06-01,,,,,,60.3,,75.1,,
1977-07-01,,,,,,60.1,,78.3,,
1977-08-01,,,,,,60.1,,79.4,,
1977-09-01,,,,,,59.2,,79.1,,
1977-10-01,,,,,,59.8,,77.3,,
1977-11-01,,,,,,60.1,,77.7,,
1977-12-01,70.3,57.1,67.5,,,61.0,,75.2,68.5,65.1
1978-01-01,71.5,57.8,69.8,64.3,65.1,61.8,86.0,78.7,68.8,64.7
1978-02-01,72.4,59.0,71.2,64.8,66.0,65.8,86.3,81.6,69.3,65.5
1978-03-01,73.0,59.4,73.0,64.8,66.1,68.4,86.2,81.6,69.4,65.7
1978-04-01,73.8,59.4,73.9,65.1,66.2,72.9,85.6,81.4,70.2,66.5
1978-05-01,74.9,59.7,74.6,65.8,66.7,76.6,83.7,83.3,70.7,68.2
1978-06-01,75.9,60.4,74.5,66.3,67.3,81.9,85.2,85.1,71.2,68.3
1978-07-01,77.1,61.4,75.4,66.7,68.0,80.9,84.5,85.8,71.5,68.2
1978-08-01,78.3,61.9,75.6,66.9,68.9,80.9,84.5,83.8,71.8,68.7
1978-09-01,78.5,62.2,75.2,67.6,69.1,80.2,85.4,85.0,73.1,69.3
1978-10-01,78.6,62.3,75.2,68.3,69.5,80.7,89.1,87.9,73.8,70.3
1978-11-01,78.0,62.6,75.4,68.7,69.7,81.4,92.8,88.9,74.9,71.2
1978-12-01,78.1,63.1,75.8,69.0,70.2,83.2,95.0,87.8,76.5,71.5
1979-01-01,79.4,64.0,76.2,70.0,70.3,90.4,94.6,90.5,77.3,72.8
1979-02-01,80.1,64.7,75.9,70.9,71.8,98.0,92.9,95.2,78.0,73.4
1979-03-01,80.8,65.1,75.8,71.5,72.3,101.4,93.6,94.7,78.5,73.8
1979-04-01,80.7,65.4,76.0,71.8,72.9,104.9,90.8,90.2,79.1,74.4
1979-05-01,82.0,65.7,75.6,72.3,73.9,107.6,89.1,89.0,79.6,75.0
1979-06-01,82.8,66.1,76.2,72.8,74.5,106.8,87.3,87.5,80.1,76.1
1979-07-01,83.9,66.8,76.7,73.2,75.1,105.2,85.8,88.0,80.6,76.2
1979-08-01,86.1,67.4,78.1,74.0,76.0,99.8,84.9,82.8,81.1,76.7
1979-09-01,86.7,67.8,80.1,74.2,76.6,100.2,83.6,83.9,82.2,78.2
1979-10-01,87.2,68.1,81.3,74.7,76.8,101.0,83.6,82.7,82.9,78.4
1979-11-01,86.3,68.3,82.1,75.4,77.2,101.3,83.8,80.0,84.0,79.0
1979-12-01,87.0,70.1,82.5,75.9,78.2,104.0,88.0,79.6,84.0,79.8
1980-01-01,88.4,70.6,85.4,77.0,78.7,104.0,86.3,81.4,84.6,80.7
1980-02-01,88.4,71.3,86.0,78.3,79.9,104.8,84.3,80.4,85.1,81.1
1980-03-01,89.0,71.9,86.2,79.3,80.4,105.5,84.3,80.8,85.5,81.4
1980-04-01,89.8,73.9,88.3,80.3,81.5,104.6,80.6,79.2,86.4,83.7
1980-05-01,90.7,75.1,90.3,80.8,82.3,103.3,78.3,77.3,87.5,85.9
1980-06-01,92.2,75.9,91.3,80.9,82.8,102.3,78.2,77.4,88.2,87.0
1980-07-01,93.4,77.4,92.0,81.3,83.3,102.2,80.7,81.8,89.0,87.6
1980-08-01,93.9,78.6,92.4,82.4,83.6,104.6,85.5,84.7,89.3,89.2
1980-09-01,93.7,79.1,93.5,82.7,83.7,106.1,88.7,87.4,90.6,88.3
1980-10-01,93.6,79.5,93.8,84.0,85.3,105.7,91.6,88.0,91.4,89.8
1980-11-01,93.4,80.6,94.9,84.9,85.8,106.2,93.6,88.3,93.1,90.5
1980-12-01,93.8,82.1,96.6,86.1,86.5,105.8,93.7,88.4,93.8,92.0
1981-01-01,95.5,83.2,98.6,88.1,87.5,105.9,92.0,89.7,94.6,93.5
1981-02-01,96.7,83.6,99.9,88.8,88.7,104.6,89.3,89.1,95.3,95.0
1981-03-01,97.4,83.9,100.5,89.1,89.1,103.4,88.4,88.7,95.7,94.6
1981-04-01,96.4,84.4,101.0,90.3,90.0,101.5,85.5,88.6,96.3,95.5
1981-05-01,97.6,85.5,101.2,90.5,90.5,101.2,86.7,86.3,96.2,95.2
1981-06-01,97.7,87.0,101.9,91.1,90.8,101.4,87.0,88.9,96.2,95.3
1981-07-01,98.1,87.6,102.1,91.1,91.4,101.4,89.7,94.0,96.3,96.1
1981-08-01,98.1,88.3,102.2,91.1,91.3,102.5,91.8,95.0,96.4,96.3
1981-09-01,98.1,88.9,102.4,91.9,91.8,103.6,93.3,95.4,96.4,96.8
1981-10-01,97.9,89.1,102.0,92.3,92.2,102.5,95.1,94.5,96.5,97.6
1981-11-01,97.3,89.9,101.0,92.9,92.4,102.0,95.0,91.9,96.6,97.2
1981-12-01,96.9,91.5,102.4,93.3,92.7,101.4,95.3,90.0,96.6,97.8
1982-01-01,97.8,93.1,102.0,94.2,93.2,100.5,94.4,92.9,97.2,98.2
1982-02-01,97.8,94.1,102.9,94.4,93.8,101.6,94.3,94.1,97.8,97.6
1982-03-01,97.9,94.3,102.1,94.8,94.0,101.9,95.8,91.7,98.1,97.3
1982-04-01,98.2,94.4,101.0,95.2,94.5,102.3,93.4,94.7,98.4,98.2
1982-05-01,99.7,94.6,101.4,95.5,95.1,103.3,97.1,97.5,98.6,96.8
1982-06-01,99.9,94.8,100.9,95.6,96.3,105.3,98.4,102.2,98.1,97.4
1982-07-01,100.9,94.9,100.5,95.3,96.3,104.5,100.3,105.5,98.7,97.9
1982-08-01,99.5,95.1,100.8,95.4,96.4,102.8,101.4,105.1,99.2,98.0
1982-09-01,99.4,95.3,100.1,96.0,96.0,101.7,104.6,107.0,99.2,97.2
1982-10-01,98.3,95.6,99.7,96.4,96.0,100.6,108.2,106.9,99.1,97.9
1982-11-01,97.9,95.5,98.7,97.0,96.7,100.8,109.1,105.5,99.0,99.2
1982-12-01,98.1,95.9,98.1,97.3,96.9,100.3,110.7,102.7,99.0,98.8
1983-01-01,98.6,96.0,98.9,97.8,98.0,100.7,110.8,104.1,99.4,99.3
1983-02-01,98.3,96.6,98.1,98.1,98.5,100.4,108.6,106.8,99.6,99.7
1983-03-01,98.0,97.8,98.6,98.5,98.5,101.1,109.1,104.4,99.6,98.1
1983-04-01,98.6,99.2,98.5,99.4,98.7,102.4,103.4,102.5,100.3,98.9
1983-05-01,99.3,100.3,97.8,99.1,99.0,102.3,100.0,100.7,100.3,100.0
1983-06-01,100.0,100.7,98.7,99.0,99.5,101.4,98.2,99.3,100.0,100.2
1983-07-01,100.4,100.9,98.9,99.6,99.9,100.2,96.5,98.7,100.6,98.7
1983-08-01,101.2,101.2,98.3,99.7,100.3,98.3,96.9,98.5,100.3,99.3
1983-09-01,100.5,101.3,98.6,99.7,100.4,97.5,97.5,97.3,100.5,100.5
1983-10-01,99.4,101.4,98.2,99.5,100.4,96.2,97.7,96.3,100.5,100.8
1983-11-01,99.0,101.2,98.7,100.6,100.4,96.5,95.8,94.2,100.5,101.1
1983-12-01,98.5,101.6,99.1,101.6,100.9,96.3,97.1,92.8,100.3,100.2
1984-01-01,100.5,102.0,99.1,102.8,102.3,98.5,98.6,100.2,100.7,100.8
1984-02-01,100.8,103.0,99.4,103.0,102.8,100.1,96.6,97.8,100.5,101.3
1984-03-01,101.7,104.1,100.5,103.0,103.1,100.0,98.0,97.3,100.2,101.1
1984-04-01,101.1,105.0,100.7,103.7,103.9,100.7,95.7,98.7,100.4,101.8
1984-05-01,101.7,105.7,101.3,103.5,103.8,99.6,96.6,96.3,100.1,101.9
1984-06-01,102.8,106.0,101.4,104.3,104.8,97.8,96.7,99.3,100.9,101.9
1984-07-01,103.5,106.0,101.5,105.2,106.0,97.0,96.9,102.7,101.3,101.4
1984-08-01,104.3,106.1,101.6,106.2,106.3,97.7,98.2,106.2,101.5,102.5
1984-09-01,102.8,106.2,101.6,106.2,106.2,97.0,100.5,102.7,102.1,104.7
1984-10-01,102.1,106.3,100.3,107.1,106.8,96.8,101.0,100.0,102.4,104.1
1984-11-01,101.2,106.6,100.8,106.8,106.7,97.5,99.3,98.6,102.8,102.9
1984-12-01,100.8,107.1,101.2,108.6,107.5,98.6,102.5,99.2,102.8,104.2
1985-01-01,103.1,108.1,100.8,108.7,108.3,98.1,102.8,100.1,102.9,105.6
1985-02-01,104.2,109.6,100.6,108.6,108.5,98.3,102.2,101.9,103.3,105.8
1985-03-01,104.7,110.2,101.6,108.8,108.7,98.3,102.9,99.0,103.1,105.5
1985-04-01,103.7,110.7,101.8,109.1,109.4,98.2,95.6,95.8,102.6,105.7
1985-05-01,105.9,111.1,101.8,109.8,110.0,95.5,96.6,94.5,103.2,106.0
1985-06-01,106.7,111.2,102.0,109.9,110.5,94.6,97.1,96.2,102.7,105.4
