date,CUUR0000SEFA01,CUUR0000SEFA02,CUUR0000SEFA03,CUUR0000SEFB01,CUUR0000SEFB02,CUUR0000SEFB03,CUUR0000SEFB04,CUUR0000SEFC01,CUUR0000SEFC02,CUUR0000SEFC03,CUUR0000SEFC04,CUUR0000SEFD01,CUUR0000SEFD02,CUUR0000SEFD03,CUUR0000SEFD04,CUUR0000SEFF01,CUUR0000SEFF02,CUUR0000SEFG01,CUUR0000SEFG02,CUUR0000SEFJ01,CUUR0000SEFJ02,CUUR0000SEFJ03,CUUR0000SEFJ04
2016-01-01,245.800,226.156,241.181,179.602,178.295,283.762,265.977,275.641,221.825,203.533,230.377,156.467,201.281,187.370,128.228,147.767,155.759,172.300,143.829,143.629,231.772,223.832,147.501
2016-02-01,244.830,229.452,241.972,179.573,176.677,281.606,266.267,273.730,226.865,204.827,232.843,152.801,200.865,188.200,128.632,147.673,156.343,169.137,142.021,142.243,231.437,222.532,146.846
2016-03-01,239.019,227.129,240.274,178.446,176.468,282.531,264.290,273.841,231.849,209.665,231.956,153.679,202.653,189.404,126.287,147.001,155.983,172.376,141.019,140.446,229.518,221.928,146.469
2016-04-01,243.974,226.731,241.017,177.728,175.933,282.389,268.179,271.059,228.866,212.252,230.853,156.997,197.623,190.269,128.093,148.674,156.364,176.624,144.331,139.270,230.003,222.637,147.663
2016-05-01,246.207,226.857,240.679,177.656,174.469,280.693,266.202,270.433,235.560,212.669,226.592,155.764,197.023,190.777,128.170,148.417,155.728,175.108,144.280,139.036,228.626,216.692,145.455
2016-06-01,242.653,227.774,240.392,178.541,174.759,279.182,267.339,267.700,231.525,211.868,231.344,155.782,205.605,192.342,129.996,147.098,157.880,176.312,143.884,137.661,225.164,216.569,146.454
2016-07-01,246.498,229.139,241.154,178.547,174.306,278.926,265.370,266.073,227.712,206.393,231.550,156.316,207.125,196.443,129.811,147.017,156.181,177.285,143.187,137.123,226.619,213.181,146.602
2016-08-01,243.309,225.685,240.393,178.467,175.219,279.188,267.707,268.296,223.755,207.276,229.307,156.307,207.932,194.413,133.142,146.687,156.448,176.138,142.922,138.747,226.399,215.878,146.282
2016-09-01,242.759,226.812,235.661,177.627,176.423,281.652,263.646,266.712,218.556,206.717,228.889,156.326,209.063,187.903,130.077,147.759,155.989,178.932,143.460,141.801,226.001,217.357,145.664
2016-10-01,236.596,226.415,237.632,178.466,175.508,281.936,265.245,263.300,216.087,202.245,227.506,154.115,206.389,187.594,128.110,147.696,156.476,177.346,140.786,143.134,228.640,218.687,145.421
2016-11-01,230.431,226.983,234.443,178.731,175.709,283.871,263.365,262.824,218.119,199.961,227.026,149.878,200.084,184.808,128.057,148.006,150.631,177.016,143.047,141.600,227.038,220.325,144.142
2016-12-01,228.792,227.769,234.518,178.046,176.989,283.239,260.987,258.438,213.412,196.873,230.374,148.905,191.459,181.695,126.956,146.355,150.932,174.976,143.100,143.403,224.305,223.549,146.157
2017-01-01,239.922,225.002,237.498,177.995,176.024,285.509,265.645,259.370,211.022,195.757,228.963,153.462,191.646,177.097,123.157,146.008,154.234,178.271,141.498,142.639,228.153,224.731,148.443
2017-02-01,237.603,226.170,236.109,178.627,172.860,282.395,263.872,257.226,214.434,199.057,229.261,154.876,192.939,182.170,126.619,146.181,154.421,178.073,143.651,142.193,230.230,226.873,148.447
2017-03-01,238.885,225.579,234.116,177.539,176.797,282.159,266.580,260.161,220.233,198.766,225.003,158.774,204.289,183.655,125.376,147.827,155.288,177.881,140.821,141.301,227.839,223.280,147.506
2017-04-01,235.001,225.253,234.380,178.554,175.749,283.460,264.475,260.834,220.266,200.534,226.118,159.024,194.338,180.404,125.299,147.576,153.688,176.624,141.309,139.406,228.190,221.502,148.116
2017-05-01,239.738,225.388,234.384,178.625,176.058,283.151,265.940,261.397,223.396,199.562,229.287,157.949,193.645,185.612,126.321,148.430,154.658,177.507,145.467,139.684,227.026,218.938,147.550
2017-06-01,236.902,224.510,234.502,180.154,175.106,282.617,266.151,268.889,231.152,205.093,236.229,158.705,202.870,183.292,126.733,148.770,152.744,179.135,145.374,138.610,226.464,214.396,146.108
2017-07-01,240.703,225.284,234.264,177.622,174.445,282.112,266.915,273.687,229.692,207.117,238.069,161.207,210.671,182.725,127.544,149.287,150.945,178.004,145.575,138.775,227.817,214.672,148.017
2017-08-01,239.306,223.789,236.573,179.221,173.849,282.774,267.597,273.406,224.824,204.631,239.288,165.612,209.868,186.454,127.257,149.715,150.718,178.038,144.945,138.336,229.206,216.519,146.965
2017-09-01,237.542,224.457,232.868,178.051,175.190,281.738,267.519,273.077,223.994,200.310,233.506,168.022,207.655,185.582,127.449,149.223,151.018,176.654,145.754,138.117,228.232,218.343,147.406
2017-10-01,235.462,223.976,233.122,176.990,176.217,281.384,265.123,269.807,218.920,200.004,230.758,165.546,213.643,186.171,127.823,149.382,151.677,175.619,146.842,138.491,230.499,218.865,146.527
2017-11-01,228.465,223.375,232.071,177.923,176.519,282.524,259.873,270.559,219.191,200.110,234.199,159.315,202.804,187.552,128.140,149.111,146.236,178.088,147.076,139.000,229.729,219.206,145.660
2017-12-01,227.737,224.079,231.200,178.115,178.698,282.694,258.920,271.142,219.989,202.185,234.312,157.683,196.570,183.583,127.045,151.159,149.778,176.965,146.568,139.575,228.526,221.363,145.268
2018-01-01,238.926,222.500,232.821,177.242,178.154,288.664,265.020,268.855,217.269,197.806,235.006,160.862,194.308,186.512,127.684,148.844,149.728,179.250,144.741,137.856,230.754,225.711,146.395
2018-02-01,241.662,219.211,235.754,176.251,177.347,288.306,262.862,267.776,220.027,198.172,235.843,160.153,191.515,187.079,126.171,149.787,148.655,179.712,140.868,137.532,228.471,221.256,146.357
2018-03-01,238.655,220.063,235.062,179.796,178.576,287.580,263.074,270.452,223.801,201.037,237.426,161.054,198.570,185.371,126.072,150.980,147.038,182.032,142.759,135.724,229.737,222.898,147.007
2018-04-01,240.692,220.762,236.631,177.410,176.991,285.077,264.524,273.149,228.441,206.024,240.246,158.816,194.568,190.688,125.267,151.210,146.435,183.506,146.832,136.255,230.234,221.776,147.494
2018-05-01,242.503,220.894,235.021,180.051,176.382,283.254,263.822,267.388,229.040,204.050,241.302,158.053,199.927,187.872,124.443,150.688,148.368,181.193,146.558,136.015,229.570,217.138,146.734
2018-06-01,241.001,220.467,238.159,179.518,177.915,289.073,265.998,268.361,235.452,206.471,244.679,156.149,205.612,188.679,123.645,150.834,148.962,183.721,145.946,136.819,230.961,216.739,146.061
2018-07-01,241.956,219.668,239.269,179.434,177.293,286.409,266.316,269.184,235.696,208.038,244.490,159.197,204.692,187.005,124.434,151.928,148.777,182.321,146.850,135.735,229.899,214.601,147.630
2018-08-01,240.130,221.101,239.961,180.078,177.925,283.752,266.019,270.035,234.675,207.486,243.680,159.754,203.159,192.279,128.615,150.341,147.647,185.783,148.223,136.946,228.958,217.720,148.007
2018-09-01,241.831,221.825,238.533,179.058,180.046,285.604,266.351,267.091,230.771,206.243,242.042,159.969,206.461,191.128,123.790,148.909,146.221,183.035,148.443,136.883,229.156,220.907,147.269
2018-10-01,231.474,220.252,231.881,179.705,179.261,287.624,265.846,264.614,222.095,203.995,244.111,156.945,203.382,191.505,123.877,150.447,144.249,182.768,149.057,137.909,228.261,222.092,146.815
2018-11-01,225.211,219.212,236.105,180.754,182.516,291.586,263.329,266.721,221.141,202.915,243.230,156.348,200.186,187.146,126.857,149.241,145.983,184.765,149.641,138.537,227.412,221.662,144.556
2018-12-01,226.287,221.966,235.595,182.930,181.384,292.612,262.921,264.493,223.785,202.199,239.414,154.712,192.080,188.385,124.015,150.004,143.058,185.668,148.642,137.852,227.539,224.125,146.323
2019-01-01,236.887,219.572,234.900,182.471,182.847,289.577,268.355,266.971,226.437,203.489,241.675,158.639,195.364,180.888,125.793,149.588,143.231,187.271,148.799,138.346,226.001,225.417,147.667
2019-02-01,235.755,221.578,236.109,183.233,181.409,291.714,268.695,266.449,228.250,203.471,242.825,157.919,190.120,186.512,122.984,150.587,148.266,186.396,148.212,137.925,224.692,226.736,147.447
2019-03-01,237.658,224.248,241.408,183.085,182.198,289.955,269.252,264.782,233.319,207.216,244.924,158.703,203.141,184.792,124.229,149.637,144.893,186.845,146.699,139.408,225.253,223.143,149.103
2019-04-01,236.002,224.059,237.898,184.384,179.427,290.258,269.025,267.757,232.365,207.722,247.583,157.418,198.315,189.769,123.497,150.926,145.284,185.446,148.998,139.626,225.237,224.369,148.355
2019-05-01,238.911,222.799,237.412,184.131,181.098,292.291,272.823,269.603,239.138,209.242,245.272,160.553,204.382,194.708,126.741,150.567,145.666,186.930,150.530,139.377,226.827,220.539,149.642
2019-06-01,238.545,223.984,240.598,182.206,178.226,291.086,271.098,266.123,245.025,208.177,246.474,163.213,202.671,186.744,125.740,150.442,147.709,185.953,149.061,139.485,228.269,214.387,149.544
2019-07-01,241.126,224.036,240.739,183.514,177.300,292.662,270.770,268.957,243.876,208.912,248.456,164.136,208.138,194.467,126.525,149.390,145.093,184.897,149.364,140.072,227.813,213.859,149.952
2019-08-01,239.327,220.688,240.329,182.235,178.077,292.710,271.636,270.224,237.463,207.398,246.027,160.821,212.864,193.160,124.773,149.255,146.537,185.321,149.404,141.062,229.276,216.612,149.596
2019-09-01,238.686,220.068,237.621,185.084,179.626,292.693,272.291,269.095,236.045,207.137,248.732,161.856,214.492,191.184,125.443,147.686,150.233,183.794,149.059,141.841,229.735,221.951,149.027
2019-10-01,232.780,220.408,236.496,185.162,180.528,289.839,271.611,272.685,229.078,207.611,248.555,162.977,217.184,186.006,126.783,149.301,149.289,185.344,148.945,143.000,232.490,225.138,146.819
2019-11-01,224.422,218.774,238.499,187.598,180.255,294.040,265.935,272.517,231.818,207.329,251.126,160.826,210.880,191.235,127.784,149.412,146.009,185.024,149.316,143.933,233.878,225.638,146.489
2019-12-01,225.638,221.618,234.282,186.499,180.359,287.726,266.853,275.926,240.213,211.160,250.883,160.178,199.772,191.834,129.193,152.095,147.475,186.119,148.213,144.845,234.486,224.202,146.563
2020-01-01,235.711,219.421,237.732,185.053,179.172,292.549,267.099,277.710,238.609,209.953,251.451,163.837,204.344,188.587,127.855,149.467,149.683,188.896,148.695,146.652,233.932,227.147,146.900
2020-02-01,234.170,217.695,239.446,186.696,179.860,288.073,271.760,276.504,241.550,210.502,253.389,162.266,209.558,193.058,129.717,149.496,153.139,188.573,146.836,146.240,236.598,226.516,149.050
2020-03-01,235.939,221.578,238.912,187.308,179.659,292.379,269.163,280.336,241.647,211.594,251.510,161.539,219.842,190.618,127.032,151.403,155.139,189.458,144.951,146.295,236.610,228.986,151.200
2020-04-01,238.985,224.844,244.852,194.227,186.219,296.846,278.737,293.690,253.826,218.764,260.944,162.428,210.336,204.752,139.949,160.175,155.424,197.665,152.777,147.742,240.897,233.015,152.772
2020-05-01,240.779,228.013,249.304,190.654,184.492,294.435,279.694,314.981,303.401,244.034,283.515,161.798,221.910,221.889,143.534,163.158,161.230,196.794,154.917,146.865,242.776,233.377,155.743
2020-06-01,244.665,230.490,248.073,189.750,184.620,298.935,280.501,336.424,307.274,258.987,297.987,171.255,227.745,231.435,146.240,163.525,160.813,194.058,154.412,145.469,242.237,231.814,153.738
2020-07-01,243.504,226.335,247.693,190.894,183.603,296.970,281.017,309.349,280.565,236.773,280.408,171.441,217.932,218.186,143.896,159.299,160.975,192.804,153.583,146.046,238.402,229.501,153.702
2020-08-01,242.610,221.886,247.294,191.783,186.284,295.675,279.681,297.108,266.123,224.432,270.645,168.525,220.614,211.034,143.086,158.494,163.132,190.771,155.734,151.940,244.669,229.135,152.935
2020-09-01,240.290,226.417,243.879,192.332,187.342,294.172,278.250,291.531,264.233,221.130,269.271,168.405,221.066,212.637,133.897,157.875,169.052,193.679,154.963,152.025,243.109,231.992,151.590
2020-10-01,238.125,226.858,242.619,193.623,186.338,297.045,277.445,292.378,256.383,221.458,270.383,171.027,220.397,204.053,139.910,157.681,166.231,193.648,154.985,149.081,243.122,229.210,151.870
2020-11-01,232.226,225.593,242.967,192.660,185.199,295.483,273.998,293.417,257.939,219.335,271.841,167.902,209.243,210.221,137.979,159.378,158.531,194.120,156.046,150.175,242.399,231.552,151.340
2020-12-01,232.911,227.887,244.594,193.093,185.711,296.454,273.577,290.523,256.824,219.186,274.150,169.292,202.600,208.335,136.298,158.208,155.517,195.613,155.400,153.549,243.450,233.089,152.089
2021-01-01,239.720,226.376,243.333,191.579,186.468,297.056,271.376,289.968,258.766,223.768,275.955,169.545,210.361,203.256,139.390,157.889,161.560,195.868,155.907,151.392,244.437,234.615,152.552
2021-02-01,238.561,223.913,244.664,191.171,189.257,296.600,277.028,290.260,264.311,223.867,275.772,168.012,221.941,205.226,138.639,156.594,161.092,196.115,154.100,149.192,243.240,232.630,153.820
2021-03-01,239.229,225.778,243.971,191.582,187.584,302.167,275.116,295.827,268.702,225.313,273.758,170.396,212.316,208.450,140.313,158.667,159.274,199.903,151.953,148.091,242.959,231.814,152.390
2021-04-01,235.836,225.246,242.711,191.929,186.982,303.122,279.194,296.906,268.550,232.175,275.482,174.707,214.204,212.226,145.479,160.017,162.468,198.501,153.368,150.968,240.069,232.323,153.920
2021-05-01,241.371,228.209,244.122,193.564,187.304,299.796,280.559,298.089,285.682,244.853,288.623,177.278,214.351,214.056,148.105,162.973,166.015,202.711,156.205,153.593,239.858,227.303,153.610
2021-06-01,242.767,229.794,244.286,192.878,187.762,300.883,279.138,308.319,299.826,261.720,307.146,181.695,224.633,224.766,155.707,164.003,169.780,206.552,158.230,153.599,240.100,228.197,152.469
2021-07-01,245.336,229.959,246.687,193.094,188.868,304.215,285.755,310.588,302.083,262.207,310.119,185.338,223.932,228.531,163.539,167.637,170.346,209.217,160.872,155.057,238.678,230.311,154.148
2021-08-01,248.823,229.855,245.495,192.971,186.280,304.406,285.187,317.667,301.017,261.578,308.724,189.373,229.619,228.555,159.243,169.947,173.080,210.898,159.032,153.989,238.682,229.474,152.751
2021-09-01,250.198,229.122,245.890,196.492,194.852,305.507,287.626,323.036,319.206,269.960,324.683,192.989,236.459,225.262,159.638,169.901,168.893,214.314,160.287,154.830,240.622,232.587,153.872
2021-10-01,249.956,236.615,245.062,198.052,195.203,305.051,291.804,331.442,320.251,275.127,329.502,197.371,236.034,236.503,163.543,171.628,169.022,214.998,161.113,155.562,241.554,237.133,153.767
2021-11-01,246.663,238.343,248.552,200.415,197.481,305.434,289.684,334.337,325.982,273.276,337.584,197.752,231.732,236.883,169.605,174.031,165.790,214.629,164.597,157.118,241.573,233.066,153.505
2021-12-01,248.322,241.597,251.399,200.504,194.413,307.683,291.326,328.379,313.704,266.132,337.797,196.881,223.042,234.362,162.026,174.595,164.285,215.658,165.619,160.028,242.001,236.785,154.618
2022-01-01,264.478,238.165,255.463,202.802,197.864,315.217,298.282,327.558,308.437,262.132,325.486,196.618,231.335,232.720,159.208,174.096,173.654,220.733,166.105,161.713,244.895,237.231,158.645
2022-02-01,266.133,240.812,259.560,203.586,202.667,319.043,303.535,329.701,313.372,261.646,328.800,196.697,237.715,232.694,160.293,177.293,175.812,219.198,167.968,165.941,247.864,240.373,160.351
2022-03-01,273.106,246.618,266.558,205.262,207.902,322.175,308.504,336.526,316.201,262.350,329.620,198.545,243.372,237.240,161.906,179.990,178.389,222.437,168.075,167.724,250.502,239.418,164.111
2022-04-01,268.748,252.613,268.736,209.338,205.891,325.062,311.949,340.975,313.886,259.539,327.591,203.113,233.085,241.837,164.573,186.180,179.928,224.402,169.768,173.158,255.698,243.175,167.824
2022-05-01,274.327,255.993,275.397,210.342,205.554,335.043,318.042,338.500,317.134,261.127,323.534,204.937,238.086,237.643,166.777,191.275,187.833,229.367,173.722,178.025,260.814,249.201,173.501
2022-06-01,289.439,262.495,278.953,213.644,212.614,341.175,321.866,338.124,310.754,260.906,317.494,203.345,246.139,234.207,166.905,194.465,189.643,228.491,176.200,178.856,263.462,256.804,176.711
2022-07-01,301.121,267.762,282.504,219.552,215.168,346.857,328.366,340.820,306.713,258.347,323.063,207.114,244.618,239.545,166.071,197.109,190.821,228.731,173.975,179.209,268.710,256.386,183.332
2022-08-01,306.855,267.629,283.939,224.282,218.223,348.207,332.156,342.409,310.822,253.850,323.750,206.427,250.704,240.387,162.927,198.100,195.155,227.283,174.496,180.113,270.972,261.632,183.247
2022-09-01,310.842,267.059,284.984,225.321,219.946,354.393,337.004,335.547,310.394,256.874,323.766,208.163,255.643,237.554,166.992,199.087,197.642,227.964,175.880,178.295,272.768,264.259,185.903
2022-10-01,311.388,268.971,286.942,227.319,221.689,354.609,339.755,333.945,303.390,256.237,318.013,207.547,257.469,238.072,164.107,196.431,197.577,229.389,174.167,178.172,271.448,268.785,186.804
2022-11-01,308.154,270.004,290.335,231.939,226.792,359.269,337.544,330.935,299.541,253.151,313.353,202.070,249.744,240.781,160.889,194.861,195.503,226.237,177.256,180.187,271.488,273.776,187.879
2022-12-01,306.469,272.978,290.126,232.457,226.085,360.381,337.758,330.548,302.821,251.804,315.096,198.950,235.809,241.227,159.128,193.655,194.053,223.947,176.042,180.048,272.885,272.229,187.636
2023-01-01,318.540,273.962,293.434,232.931,229.073,366.553,343.373,329.943,306.920,254.334,317.996,199.108,248.034,232.855,156.233,192.413,198.270,227.546,174.600,179.482,272.064,275.865,189.019
