item,date,value
CUUR0000SEFK01,2024-12-01,343.966
CUUR0000SEFK01,2024-11-01,338.614
CUUR0000SEFK01,2024-10-01,345.978
CUUR0000SEFK01,2024-09-01,343.623
CUUR0000SEFK01,2024-08-01,341.338
CUUR0000SEFK01,2024-07-01,338.110
CUUR0000SEFK01,2024-06-01,338.506
CUUR0000SEFK01,2024-05-01,336.544
CUUR0000SEFK01,2024-04-01,331.963
CUUR0000SEFK01,2024-03-01,338.499
CUUR0000SEFK01,2024-02-01,340.215
CUUR0000SEFK01,2024-01-01,339.744
CUUR0000SEFK01,2023-12-01,341.314
CUUR0000SEFK01,2023-11-01,341.815
CUUR0000SEFK01,2023-10-01,346.674
CUUR0000SEFK01,2023-09-01,387.201
CUUR0000SEFK01,2023-08-01,396.512
CUUR0000SEFK01,2023-07-01,395.575
CUUR0000SEFK01,2023-06-01,384.824
CUUR0000SEFK01,2023-05-01,387.719
CUUR0000SEFK01,2023-04-01,380.371
CUUR0000SEFK01,2023-03-01,376.465
CUUR0000SEFK01,2023-02-01,376.556
CUUR0000SEFK01,2023-01-01,372.933
CUUR0000SEFK01,2022-12-01,362.529
CUUR0000SEFK01,2022-11-01,362.838
CUUR0000SEFK01,2022-10-01,360.647
CUUR0000SEFK01,2022-09-01,372.750
CUUR0000SEFK01,2022-08-01,365.559
CUUR0000SEFK01,2022-07-01,367.947
CUUR0000SEFK01,2022-06-01,368.101
CUUR0000SEFK01,2022-05-01,359.984
CUUR0000SEFK01,2022-04-01,359.487
CUUR0000SEFK01,2022-03-01,357.692
CUUR0000SEFK01,2022-02-01,356.638
CUUR0000SEFK01,2022-01-01,343.824
CUUR0000SEFK01,2021-12-01,340.128
CUUR0000SEFK01,2021-11-01,337.858
CUUR0000SEFK01,2021-10-01,344.025
CUUR0000SEFK01,2021-09-01,351.704
CUUR0000SEFK01,2021-08-01,352.329
CUUR0000SEFK01,2021-07-01,350.021
CUUR0000SEFK01,2021-06-01,347.403
CUUR0000SEFK01,2021-05-01,338.874
CUUR0000SEFK01,2021-04-01,337.240
CUUR0000SEFK01,2021-03-01,333.649
CUUR0000SEFK01,2021-02-01,330.695
CUUR0000SEFK01,2021-01-01,322.045
CUUR0000SEFK01,2020-12-01,315.538
CUUR0000SEFK01,2020-11-01,314.608
CUUR0000SEFK01,2020-10-01,322.554
CUUR0000SEFK01,2020-09-01,326.216
CUUR0000SEFK01,2020-08-01,333.698
CUUR0000SEFK01,2020-07-01,330.308
CUUR0000SEFK01,2020-06-01,326.202
CUUR0000SEFK01,2020-05-01,329.827
CUUR0000SEFK01,2020-04-01,328.641
CUUR0000SEFK01,2020-03-01,310.774
CUUR0000SEFK01,2020-02-01,315.191
CUUR0000SEFK01,2020-01-01,317.302
CUUR0000SEFK01,2019-12-01,314.932
CUUR0000SEFK01,2019-11-01,322.440
CUUR0000SEFK01,2019-10-01,333.259
CUUR0000SEFK01,2019-09-01,336.943
CUUR0000SEFK01,2019-08-01,359.976
CUUR0000SEFK01,2019-07-01,354.683
CUUR0000SEFK01,2019-06-01,347.240
CUUR0000SEFK01,2019-05-01,344.742
CUUR0000SEFK01,2019-04-01,343.561
CUUR0000SEFK01,2019-03-01,340.703
CUUR0000SEFK01,2019-02-01,335.377
CUUR0000SEFK01,2019-01-01,333.290
CUUR0000SEFK01,2018-12-01,327.632
CUUR0000SEFK01,2018-11-01,322.325
CUUR0000SEFK01,2018-10-01,325.758
CUUR0000SEFK01,2018-09-01,337.834
CUUR0000SEFK01,2018-08-01,349.585
CUUR0000SEFK01,2018-07-01,342.615
CUUR0000SEFK01,2018-06-01,335.673
CUUR0000SEFK01,2018-05-01,337.130
CUUR0000SEFK01,2018-04-01,339.091
CUUR0000SEFK01,2018-03-01,333.852
CUUR0000SEFK01,2018-02-01,338.350
CUUR0000SEFK01,2018-01-01,335.546
CUUR0000SEFK01,2017-12-01,328.631
CUUR0000SEFK01,2017-11-01,336.546
CUUR0000SEFK01,2017-10-01,342.805
CUUR0000SEFK01,2017-09-01,365.599
CUUR0000SEFK01,2017-08-01,371.283
CUUR0000SEFK01,2017-07-01,360.305
CUUR0000SEFK01,2017-06-01,350.374
CUUR0000SEFK01,2017-05-01,343.596
CUUR0000SEFK01,2017-04-01,335.668
CUUR0000SEFK01,2017-03-01,335.680
CUUR0000SEFK01,2017-02-01,332.585
CUUR0000SEFK01,2017-01-01,330.947
CUUR0000SEFK01,2016-12-01,337.515
CUUR0000SEFK01,2016-11-01,333.401
CUUR0000SEFK01,2016-10-01,330.634
CUUR0000SEFK01,2016-09-01,351.022
CUUR0000SEFK01,2016-08-01,373.911
CUUR0000SEFK01,2016-07-01,369.524
CUUR0000SEFK01,2016-06-01,368.339
CUUR0000SEFK01,2016-05-01,353.376
CUUR0000SEFK01,2016-04-01,350.451
CUUR0000SEFK01,2016-03-01,354.489
CUUR0000SEFK01,2016-02-01,351.675
CUUR0000SEFK01,2016-01-01,342.928
CUUR0000SEFK01,2015-12-01,334.632
CUUR0000SEFK01,2015-11-01,328.974
CUUR0000SEFK01,2015-10-01,324.475
CUUR0000SEFK01,2015-09-01,336.417
CUUR0000SEFK01,2015-08-01,338.884
CUUR0000SEFK01,2015-07-01,338.823
CUUR0000SEFK01,2015-06-01,336.155
CUUR0000SEFK01,2015-05-01,324.199
CUUR0000SEFK01,2015-04-01,317.223
CUUR0000SEFK01,2015-03-01,319.216
CUUR0000SEFK01,2015-02-01,326.073
CUUR0000SEFK01,2015-01-01,324.679
CUUR0000SEFK02,2024-12-01,205.690
CUUR0000SEFK02,2024-11-01,207.249
CUUR0000SEFK02,2024-10-01,205.722
CUUR0000SEFK02,2024-09-01,207.001
CUUR0000SEFK02,2024-08-01,206.751
CUUR0000SEFK02,2024-07-01,206.793
CUUR0000SEFK02,2024-06-01,210.306
CUUR0000SEFK02,2024-05-01,210.238
CUUR0000SEFK02,2024-04-01,210.049
CUUR0000SEFK02,2024-03-01,209.329
CUUR0000SEFK02,2024-02-01,207.981
CUUR0000SEFK02,2024-01-01,204.602
CUUR0000SEFK02,2023-12-01,207.757
CUUR0000SEFK02,2023-11-01,207.731
CUUR0000SEFK02,2023-10-01,208.615
CUUR0000SEFK02,2023-09-01,208.806
CUUR0000SEFK02,2023-08-01,209.580
CUUR0000SEFK02,2023-07-01,209.612
CUUR0000SEFK02,2023-06-01,208.359
CUUR0000SEFK02,2023-05-01,209.503
CUUR0000SEFK02,2023-04-01,209.660
CUUR0000SEFK02,2023-03-01,209.243
CUUR0000SEFK02,2023-02-01,212.403
CUUR0000SEFK02,2023-01-01,208.819
CUUR0000SEFK02,2022-12-01,205.751
CUUR0000SEFK02,2022-11-01,206.640
CUUR0000SEFK02,2022-10-01,205.588
CUUR0000SEFK02,2022-09-01,207.853
CUUR0000SEFK02,2022-08-01,209.062
CUUR0000SEFK02,2022-07-01,209.580
CUUR0000SEFK02,2022-06-01,207.786
CUUR0000SEFK02,2022-05-01,206.744
CUUR0000SEFK02,2022-04-01,204.099
CUUR0000SEFK02,2022-03-01,205.368
CUUR0000SEFK02,2022-02-01,203.153
CUUR0000SEFK02,2022-01-01,203.353
CUUR0000SEFK02,2021-12-01,200.986
CUUR0000SEFK02,2021-11-01,199.042
CUUR0000SEFK02,2021-10-01,196.264
CUUR0000SEFK02,2021-09-01,193.775
CUUR0000SEFK02,2021-08-01,192.983
CUUR0000SEFK02,2021-07-01,195.118
CUUR0000SEFK02,2021-06-01,194.976
CUUR0000SEFK02,2021-05-01,195.818
CUUR0000SEFK02,2021-04-01,195.866
CUUR0000SEFK02,2021-03-01,193.220
CUUR0000SEFK02,2021-02-01,193.050
CUUR0000SEFK02,2021-01-01,196.779
CUUR0000SEFK02,2020-12-01,189.622
CUUR0000SEFK02,2020-11-01,191.855
CUUR0000SEFK02,2020-10-01,190.704
CUUR0000SEFK02,2020-09-01,190.210
CUUR0000SEFK02,2020-08-01,189.923
CUUR0000SEFK02,2020-07-01,192.992
CUUR0000SEFK02,2020-06-01,195.506
CUUR0000SEFK02,2020-05-01,196.546
CUUR0000SEFK02,2020-04-01,195.890
CUUR0000SEFK02,2020-03-01,195.553
CUUR0000SEFK02,2020-02-01,195.034
CUUR0000SEFK02,2020-01-01,195.848
CUUR0000SEFK02,2019-12-01,197.506
CUUR0000SEFK02,2019-11-01,197.388
CUUR0000SEFK02,2019-10-01,195.904
CUUR0000SEFK02,2019-09-01,194.269
CUUR0000SEFK02,2019-08-01,195.099
CUUR0000SEFK02,2019-07-01,194.956
CUUR0000SEFK02,2019-06-01,197.120
CUUR0000SEFK02,2019-05-01,196.124
CUUR0000SEFK02,2019-04-01,194.449
CUUR0000SEFK02,2019-03-01,198.299
CUUR0000SEFK02,2019-02-01,195.987
CUUR0000SEFK02,2019-01-01,194.690
CUUR0000SEFK02,2018-12-01,196.258
CUUR0000SEFK02,2018-11-01,193.453
CUUR0000SEFK02,2018-10-01,195.409
CUUR0000SEFK02,2018-09-01,196.842
CUUR0000SEFK02,2018-08-01,196.087
CUUR0000SEFK02,2018-07-01,198.129
CUUR0000SEFK02,2018-06-01,196.475
CUUR0000SEFK02,2018-05-01,197.286
CUUR0000SEFK02,2018-04-01,197.638
CUUR0000SEFK02,2018-03-01,199.713
CUUR0000SEFK02,2018-02-01,197.969
CUUR0000SEFK02,2018-01-01,195.248
CUUR0000SEFK02,2017-12-01,194.545
CUUR0000SEFK02,2017-11-01,191.184
CUUR0000SEFK02,2017-10-01,189.561
CUUR0000SEFK02,2017-09-01,188.475
CUUR0000SEFK02,2017-08-01,195.153
CUUR0000SEFK02,2017-07-01,195.758
CUUR0000SEFK02,2017-06-01,198.125
CUUR0000SEFK02,2017-05-01,196.982
CUUR0000SEFK02,2017-04-01,197.638
CUUR0000SEFK02,2017-03-01,197.635
CUUR0000SEFK02,2017-02-01,198.605
CUUR0000SEFK02,2017-01-01,198.357
CUUR0000SEFK02,2016-12-01,198.865
CUUR0000SEFK02,2016-11-01,198.110
CUUR0000SEFK02,2016-10-01,199.128
CUUR0000SEFK02,2016-09-01,200.637
CUUR0000SEFK02,2016-08-01,196.862
CUUR0000SEFK02,2016-07-01,198.458
CUUR0000SEFK02,2016-06-01,199.292
CUUR0000SEFK02,2016-05-01,197.649
CUUR0000SEFK02,2016-04-01,197.396
CUUR0000SEFK02,2016-03-01,200.311
CUUR0000SEFK02,2016-02-01,198.712
CUUR0000SEFK02,2016-01-01,200.802
CUUR0000SEFK02,2015-12-01,201.757
CUUR0000SEFK02,2015-11-01,200.597
CUUR0000SEFK02,2015-10-01,200.414
CUUR0000SEFK02,2015-09-01,201.189
CUUR0000SEFK02,2015-08-01,201.747
CUUR0000SEFK02,2015-07-01,199.332
CUUR0000SEFK02,2015-06-01,199.472
CUUR0000SEFK02,2015-05-01,201.280
CUUR0000SEFK02,2015-04-01,201.925
CUUR0000SEFK02,2015-03-01,201.495
CUUR0000SEFK02,2015-02-01,200.159
CUUR0000SEFK02,2015-01-01,200.064
CUUR0000SEFK03,2024-12-01,290.004
CUUR0000SEFK03,2024-11-01,307.320
CUUR0000SEFK03,2024-10-01,312.213
CUUR0000SEFK03,2024-09-01,305.600
CUUR0000SEFK03,2024-08-01,299.232
CUUR0000SEFK03,2024-07-01,298.233
CUUR0000SEFK03,2024-06-01,293.395
CUUR0000SEFK03,2024-05-01,292.000
CUUR0000SEFK03,2024-04-01,289.031
CUUR0000SEFK03,2024-03-01,289.583
CUUR0000SEFK03,2024-02-01,288.092
CUUR0000SEFK03,2024-01-01,292.283
CUUR0000SEFK03,2023-12-01,294.514
CUUR0000SEFK03,2023-11-01,306.679
CUUR0000SEFK03,2023-10-01,301.922
CUUR0000SEFK03,2023-09-01,296.557
CUUR0000SEFK03,2023-08-01,293.631
CUUR0000SEFK03,2023-07-01,293.798
CUUR0000SEFK03,2023-06-01,289.919
CUUR0000SEFK03,2023-05-01,299.477
CUUR0000SEFK03,2023-04-01,297.207
CUUR0000SEFK03,2023-03-01,293.528
CUUR0000SEFK03,2023-02-01,292.211
CUUR0000SEFK03,2023-01-01,288.893
CUUR0000SEFK03,2022-12-01,279.410
CUUR0000SEFK03,2022-11-01,295.214
CUUR0000SEFK03,2022-10-01,298.639
CUUR0000SEFK03,2022-09-01,303.970
CUUR0000SEFK03,2022-08-01,301.355
CUUR0000SEFK03,2022-07-01,302.645
CUUR0000SEFK03,2022-06-01,306.682
CUUR0000SEFK03,2022-05-01,316.212
CUUR0000SEFK03,2022-04-01,314.133
CUUR0000SEFK03,2022-03-01,304.733
CUUR0000SEFK03,2022-02-01,295.623
CUUR0000SEFK03,2022-01-01,278.580
CUUR0000SEFK03,2021-12-01,272.708
CUUR0000SEFK03,2021-11-01,269.521
CUUR0000SEFK03,2021-10-01,276.628
