item,date,value
CUUR0000SEFK03,2021-09-01,275.809
CUUR0000SEFK03,2021-08-01,277.503
CUUR0000SEFK03,2021-07-01,272.548
CUUR0000SEFK03,2021-06-01,280.602
CUUR0000SEFK03,2021-05-01,272.299
CUUR0000SEFK03,2021-04-01,264.864
CUUR0000SEFK03,2021-03-01,255.056
CUUR0000SEFK03,2021-02-01,254.399
CUUR0000SEFK03,2021-01-01,251.847
CUUR0000SEFK03,2020-12-01,248.506
CUUR0000SEFK03,2020-11-01,262.747
CUUR0000SEFK03,2020-10-01,266.773
CUUR0000SEFK03,2020-09-01,266.270
CUUR0000SEFK03,2020-08-01,266.997
CUUR0000SEFK03,2020-07-01,264.260
CUUR0000SEFK03,2020-06-01,256.196
CUUR0000SEFK03,2020-05-01,249.797
CUUR0000SEFK03,2020-04-01,245.671
CUUR0000SEFK03,2020-03-01,232.223
CUUR0000SEFK03,2020-02-01,232.326
CUUR0000SEFK03,2020-01-01,238.849
CUUR0000SEFK03,2019-12-01,242.295
CUUR0000SEFK03,2019-11-01,257.927
CUUR0000SEFK03,2019-10-01,271.388
CUUR0000SEFK03,2019-09-01,265.105
CUUR0000SEFK03,2019-08-01,262.815
CUUR0000SEFK03,2019-07-01,262.994
CUUR0000SEFK03,2019-06-01,257.814
CUUR0000SEFK03,2019-05-01,255.828
CUUR0000SEFK03,2019-04-01,252.581
CUUR0000SEFK03,2019-03-01,256.720
CUUR0000SEFK03,2019-02-01,251.445
CUUR0000SEFK03,2019-01-01,253.891
CUUR0000SEFK03,2018-12-01,259.004
CUUR0000SEFK03,2018-11-01,265.781
CUUR0000SEFK03,2018-10-01,279.086
CUUR0000SEFK03,2018-09-01,284.053
CUUR0000SEFK03,2018-08-01,287.491
CUUR0000SEFK03,2018-07-01,278.488
CUUR0000SEFK03,2018-06-01,271.361
CUUR0000SEFK03,2018-05-01,265.287
CUUR0000SEFK03,2018-04-01,257.776
CUUR0000SEFK03,2018-03-01,251.797
CUUR0000SEFK03,2018-02-01,248.930
CUUR0000SEFK03,2018-01-01,246.266
CUUR0000SEFK03,2017-12-01,246.779
CUUR0000SEFK03,2017-11-01,262.887
CUUR0000SEFK03,2017-10-01,278.935
CUUR0000SEFK03,2017-09-01,269.616
CUUR0000SEFK03,2017-08-01,265.994
CUUR0000SEFK03,2017-07-01,265.484
CUUR0000SEFK03,2017-06-01,257.142
CUUR0000SEFK03,2017-05-01,241.963
CUUR0000SEFK03,2017-04-01,235.296
CUUR0000SEFK03,2017-03-01,230.793
CUUR0000SEFK03,2017-02-01,231.147
CUUR0000SEFK03,2017-01-01,231.109
CUUR0000SEFK03,2016-12-01,227.649
CUUR0000SEFK03,2016-11-01,238.448
CUUR0000SEFK03,2016-10-01,263.044
CUUR0000SEFK03,2016-09-01,263.754
CUUR0000SEFK03,2016-08-01,256.301
CUUR0000SEFK03,2016-07-01,253.145
CUUR0000SEFK03,2016-06-01,250.246
CUUR0000SEFK03,2016-05-01,242.057
CUUR0000SEFK03,2016-04-01,229.840
CUUR0000SEFK03,2016-03-01,223.133
CUUR0000SEFK03,2016-02-01,217.252
CUUR0000SEFK03,2016-01-01,218.298
CUUR0000SEFK03,2015-12-01,223.155
CUUR0000SEFK03,2015-11-01,236.456
CUUR0000SEFK03,2015-10-01,257.875
CUUR0000SEFK03,2015-09-01,253.924
CUUR0000SEFK03,2015-08-01,253.622
CUUR0000SEFK03,2015-07-01,245.604
CUUR0000SEFK03,2015-06-01,236.049
CUUR0000SEFK03,2015-05-01,232.439
CUUR0000SEFK03,2015-04-01,222.796
CUUR0000SEFK03,2015-03-01,215.472
CUUR0000SEFK03,2015-02-01,215.076
CUUR0000SEFK03,2015-01-01,216.300
CUUR0000SEFK04,2024-12-01,146.008
CUUR0000SEFK04,2024-11-01,147.739
CUUR0000SEFK04,2024-10-01,144.984
CUUR0000SEFK04,2024-09-01,142.111
CUUR0000SEFK04,2024-08-01,135.517
CUUR0000SEFK04,2024-07-01,135.613
CUUR0000SEFK04,2024-06-01,135.280
CUUR0000SEFK04,2024-05-01,144.180
CUUR0000SEFK04,2024-04-01,143.916
CUUR0000SEFK04,2024-03-01,143.302
CUUR0000SEFK04,2024-02-01,145.332
CUUR0000SEFK04,2024-01-01,147.471
CUUR0000SEFK04,2023-12-01,144.978
CUUR0000SEFK04,2023-11-01,143.069
CUUR0000SEFK04,2023-10-01,139.970
CUUR0000SEFK04,2023-09-01,133.793
CUUR0000SEFK04,2023-08-01,131.300
CUUR0000SEFK04,2023-07-01,132.805
CUUR0000SEFK04,2023-06-01,136.336
CUUR0000SEFK04,2023-05-01,136.161
CUUR0000SEFK04,2023-04-01,133.491
CUUR0000SEFK04,2023-03-01,132.328
CUUR0000SEFK04,2023-02-01,137.594
CUUR0000SEFK04,2023-01-01,137.308
CUUR0000SEFK04,2022-12-01,136.292
CUUR0000SEFK04,2022-11-01,137.687
CUUR0000SEFK04,2022-10-01,134.666
CUUR0000SEFK04,2022-09-01,133.942
CUUR0000SEFK04,2022-08-01,131.711
CUUR0000SEFK04,2022-07-01,132.905
CUUR0000SEFK04,2022-06-01,132.874
CUUR0000SEFK04,2022-05-01,137.073
CUUR0000SEFK04,2022-04-01,138.180
CUUR0000SEFK04,2022-03-01,137.280
CUUR0000SEFK04,2022-02-01,139.851
CUUR0000SEFK04,2022-01-01,135.865
CUUR0000SEFK04,2021-12-01,131.935
CUUR0000SEFK04,2021-11-01,130.522
CUUR0000SEFK04,2021-10-01,126.326
CUUR0000SEFK04,2021-09-01,124.195
CUUR0000SEFK04,2021-08-01,120.603
CUUR0000SEFK04,2021-07-01,121.615
CUUR0000SEFK04,2021-06-01,124.752
CUUR0000SEFK04,2021-05-01,130.169
CUUR0000SEFK04,2021-04-01,132.572
CUUR0000SEFK04,2021-03-01,128.459
CUUR0000SEFK04,2021-02-01,127.159
CUUR0000SEFK04,2021-01-01,124.788
CUUR0000SEFK04,2020-12-01,122.771
CUUR0000SEFK04,2020-11-01,121.144
CUUR0000SEFK04,2020-10-01,121.972
CUUR0000SEFK04,2020-09-01,117.217
CUUR0000SEFK04,2020-08-01,116.312
CUUR0000SEFK04,2020-07-01,113.149
CUUR0000SEFK04,2020-06-01,114.799
CUUR0000SEFK04,2020-05-01,121.659
CUUR0000SEFK04,2020-04-01,122.442
CUUR0000SEFK04,2020-03-01,122.423
CUUR0000SEFK04,2020-02-01,120.582
CUUR0000SEFK04,2020-01-01,119.723
CUUR0000SEFK04,2019-12-01,119.388
CUUR0000SEFK04,2019-11-01,114.989
CUUR0000SEFK04,2019-10-01,116.389
CUUR0000SEFK04,2019-09-01,111.616
CUUR0000SEFK04,2019-08-01,108.536
CUUR0000SEFK04,2019-07-01,111.029
CUUR0000SEFK04,2019-06-01,113.872
CUUR0000SEFK04,2019-05-01,120.773
CUUR0000SEFK04,2019-04-01,123.774
CUUR0000SEFK04,2019-03-01,121.242
CUUR0000SEFK04,2019-02-01,123.936
CUUR0000SEFK04,2019-01-01,125.785
CUUR0000SEFK04,2018-12-01,119.757
CUUR0000SEFK04,2018-11-01,117.500
CUUR0000SEFK04,2018-10-01,117.226
CUUR0000SEFK04,2018-09-01,115.196
CUUR0000SEFK04,2018-08-01,110.003
CUUR0000SEFK04,2018-07-01,114.735
CUUR0000SEFK04,2018-06-01,116.393
CUUR0000SEFK04,2018-05-01,121.208
CUUR0000SEFK04,2018-04-01,122.817
CUUR0000SEFK04,2018-03-01,119.470
CUUR0000SEFK04,2018-02-01,125.443
CUUR0000SEFK04,2018-01-01,129.880
CUUR0000SEFK04,2017-12-01,125.821
CUUR0000SEFK04,2017-11-01,123.751
CUUR0000SEFK04,2017-10-01,120.592
CUUR0000SEFK04,2017-09-01,116.877
CUUR0000SEFK04,2017-08-01,110.131
CUUR0000SEFK04,2017-07-01,111.437
CUUR0000SEFK04,2017-06-01,113.235
CUUR0000SEFK04,2017-05-01,124.452
CUUR0000SEFK04,2017-04-01,126.345
CUUR0000SEFK04,2017-03-01,123.408
CUUR0000SEFK04,2017-02-01,120.579
CUUR0000SEFK04,2017-01-01,122.115
CUUR0000SEFK04,2016-12-01,123.948
CUUR0000SEFK04,2016-11-01,125.391
CUUR0000SEFK04,2016-10-01,120.333
CUUR0000SEFK04,2016-09-01,113.219
CUUR0000SEFK04,2016-08-01,108.970
CUUR0000SEFK04,2016-07-01,107.286
CUUR0000SEFK04,2016-06-01,109.987
CUUR0000SEFK04,2016-05-01,122.313
CUUR0000SEFK04,2016-04-01,123.140
CUUR0000SEFK04,2016-03-01,124.367
CUUR0000SEFK04,2016-02-01,134.942
CUUR0000SEFK04,2016-01-01,131.697
CUUR0000SEFK04,2015-12-01,128.843
CUUR0000SEFK04,2015-11-01,125.727
CUUR0000SEFK04,2015-10-01,120.170
CUUR0000SEFK04,2015-09-01,113.589
CUUR0000SEFK04,2015-08-01,107.703
CUUR0000SEFK04,2015-07-01,104.413
CUUR0000SEFK04,2015-06-01,108.974
CUUR0000SEFK04,2015-05-01,120.020
CUUR0000SEFK04,2015-04-01,119.206
CUUR0000SEFK04,2015-03-01,117.910
CUUR0000SEFK04,2015-02-01,125.566
CUUR0000SEFK04,2015-01-01,127.218
CUUR0000SEFL01,2024-12-01,405.794
CUUR0000SEFL01,2024-11-01,402.500
CUUR0000SEFL01,2024-10-01,423.629
CUUR0000SEFL01,2024-09-01,432.503
CUUR0000SEFL01,2024-08-01,433.413
CUUR0000SEFL01,2024-07-01,434.691
CUUR0000SEFL01,2024-06-01,427.461
CUUR0000SEFL01,2024-05-01,423.716
CUUR0000SEFL01,2024-04-01,421.228
CUUR0000SEFL01,2024-03-01,424.479
CUUR0000SEFL01,2024-02-01,422.773
CUUR0000SEFL01,2024-01-01,420.962
CUUR0000SEFL01,2023-12-01,403.266
CUUR0000SEFL01,2023-11-01,410.579
CUUR0000SEFL01,2023-10-01,430.230
CUUR0000SEFL01,2023-09-01,448.409
CUUR0000SEFL01,2023-08-01,463.969
CUUR0000SEFL01,2023-07-01,455.949
CUUR0000SEFL01,2023-06-01,444.869
CUUR0000SEFL01,2023-05-01,437.938
CUUR0000SEFL01,2023-04-01,430.341
CUUR0000SEFL01,2023-03-01,428.283
CUUR0000SEFL01,2023-02-01,432.550
CUUR0000SEFL01,2023-01-01,422.248
CUUR0000SEFL01,2022-12-01,414.961
CUUR0000SEFL01,2022-11-01,407.501
CUUR0000SEFL01,2022-10-01,445.082
CUUR0000SEFL01,2022-09-01,458.090
CUUR0000SEFL01,2022-08-01,450.179
CUUR0000SEFL01,2022-07-01,436.751
CUUR0000SEFL01,2022-06-01,417.643
CUUR0000SEFL01,2022-05-01,408.901
CUUR0000SEFL01,2022-04-01,400.249
CUUR0000SEFL01,2022-03-01,390.547
CUUR0000SEFL01,2022-02-01,381.098
CUUR0000SEFL01,2022-01-01,375.764
CUUR0000SEFL01,2021-12-01,367.490
CUUR0000SEFL01,2021-11-01,350.548
CUUR0000SEFL01,2021-10-01,386.414
CUUR0000SEFL01,2021-09-01,389.753
CUUR0000SEFL01,2021-08-01,390.908
CUUR0000SEFL01,2021-07-01,385.554
CUUR0000SEFL01,2021-06-01,383.240
CUUR0000SEFL01,2021-05-01,376.478
CUUR0000SEFL01,2021-04-01,373.440
CUUR0000SEFL01,2021-03-01,377.550
CUUR0000SEFL01,2021-02-01,370.123
CUUR0000SEFL01,2021-01-01,375.454
CUUR0000SEFL01,2020-12-01,350.759
CUUR0000SEFL01,2020-11-01,351.417
CUUR0000SEFL01,2020-10-01,380.061
CUUR0000SEFL01,2020-09-01,376.693
CUUR0000SEFL01,2020-08-01,397.532
CUUR0000SEFL01,2020-07-01,397.984
CUUR0000SEFL01,2020-06-01,402.280
CUUR0000SEFL01,2020-05-01,395.407
CUUR0000SEFL01,2020-04-01,380.959
CUUR0000SEFL01,2020-03-01,373.131
CUUR0000SEFL01,2020-02-01,370.054
CUUR0000SEFL01,2020-01-01,370.133
CUUR0000SEFL01,2019-12-01,351.033
CUUR0000SEFL01,2019-11-01,347.904
CUUR0000SEFL01,2019-10-01,378.772
CUUR0000SEFL01,2019-09-01,377.340
CUUR0000SEFL01,2019-08-01,378.883
CUUR0000SEFL01,2019-07-01,372.192
CUUR0000SEFL01,2019-06-01,355.212
CUUR0000SEFL01,2019-05-01,363.802
CUUR0000SEFL01,2019-04-01,353.555
CUUR0000SEFL01,2019-03-01,358.300
CUUR0000SEFL01,2019-02-01,355.805
CUUR0000SEFL01,2019-01-01,351.356
CUUR0000SEFL01,2018-12-01,330.640
CUUR0000SEFL01,2018-11-01,329.364
CUUR0000SEFL01,2018-10-01,347.968
CUUR0000SEFL01,2018-09-01,348.240
CUUR0000SEFL01,2018-08-01,356.733
CUUR0000SEFL01,2018-07-01,356.259
CUUR0000SEFL01,2018-06-01,348.080
CUUR0000SEFL01,2018-05-01,342.435
CUUR0000SEFL01,2018-04-01,333.525
CUUR0000SEFL01,2018-03-01,331.902
CUUR0000SEFL01,2018-02-01,339.368
CUUR0000SEFL01,2018-01-01,335.657
CUUR0000SEFL01,2017-12-01,324.840
CUUR0000SEFL01,2017-11-01,323.967
CUUR0000SEFL01,2017-10-01,345.027
CUUR0000SEFL01,2017-09-01,346.636
CUUR0000SEFL01,2017-08-01,352.146
CUUR0000SEFL01,2017-07-01,351.767
CUUR0000SEFL01,2017-06-01,343.647
CUUR0000SEFL01,2017-05-01,342.532
CUUR0000SEFL01,2017-04-01,332.868
CUUR0000SEFL01,2017-03-01,332.092
CUUR0000SEFL01,2017-02-01,337.684
CUUR0000SEFL01,2017-01-01,332.772
CUUR0000SEFL01,2016-12-01,323.004
CUUR0000SEFL01,2016-11-01,322.355
CUUR0000SEFL01,2016-10-01,334.021
CUUR0000SEFL01,2016-09-01,343.317
CUUR0000SEFL01,2016-08-01,346.410
CUUR0000SEFL01,2016-07-01,341.527
CUUR0000SEFL01,2016-06-01,337.940
CUUR0000SEFL01,2016-05-01,335.682
CUUR0000SEFL01,2016-04-01,327.293
CUUR0000SEFL01,2016-03-01,328.190
CUUR0000SEFL01,2016-02-01,330.060
CUUR0000SEFL01,2016-01-01,326.236
CUUR0000SEFL01,2015-12-01,307.171
CUUR0000SEFL01,2015-11-01,309.410
CUUR0000SEFL01,2015-10-01,332.506
CUUR0000SEFL01,2015-09-01,336.421
CUUR0000SEFL01,2015-08-01,340.077
CUUR0000SEFL01,2015-07-01,338.801
CUUR0000SEFL01,2015-06-01,329.257
CUUR0000SEFL01,2015-05-01,333.387
CUUR0000SEFL01,2015-04-01,321.353
CUUR0000SEFL01,2015-03-01,321.860
CUUR0000SEFL01,2015-02-01,324.271
CUUR0000SEFL01,2015-01-01,328.301
CUUR0000SEFL02,2024-12-01,409.518
CUUR0000SEFL02,2024-11-01,411.102
CUUR0000SEFL02,2024-10-01,390.766
CUUR0000SEFL02,2024-09-01,394.034
CUUR0000SEFL02,2024-08-01,398.002
CUUR0000SEFL02,2024-07-01,407.638
CUUR0000SEFL02,2024-06-01,408.247
CUUR0000SEFL02,2024-05-01,416.052
